AID,sex,intoxication,intercourse_dummy,intox_most_recent_sex
57100270,2,frequently,1,intoxicated
57101310,2,occasionally,1,sober
57103171,1,never,0,never
57103869,1,never,1,never
57104553,2,never,1,sober
57104649,1,never,0,never
57104676,1,never,0,never
57109625,1,occasionally,1,sober
57110897,1,never,1,sober
57111071,1,never,0,never
57111786,1,never,0,never
57113943,1,never,1,never
57116359,1,never,0,never
57117542,1,never,1,never
57117997,2,never,NA,never
57118381,2,never,0,never
57118943,2,never,1,never
57120005,1,never,0,never
57120046,1,occasionally,1,sober
57120371,2,never,1,sober
57121404,2,occasionally,0,never
57121476,2,never,0,never
57123494,2,never,0,never
57127241,2,never,0,never
57129567,1,never,0,never
57130633,1,never,0,never
57130838,1,never,NA,never
57131432,1,never,1,sober
57131909,1,never,0,never
57133772,2,never,0,never
57134457,2,never,0,never
57134967,2,never,0,never
57134970,2,never,0,never
57135078,2,frequently,1,sober
57136630,2,frequently,0,never
57138056,1,occasionally,0,never
57139880,1,never,0,never
57141051,1,never,0,never
57141800,2,never,0,never
57141919,2,never,0,never
57144659,1,never,1,never
57145151,2,never,0,never
57145199,1,occasionally,1,sober
57145731,1,never,1,never
57146734,1,occasionally,1,sober
57153160,1,never,1,sober
57154247,1,occasionally,1,sober
57154249,2,occasionally,1,sober
57154779,2,never,0,never
57155472,1,never,0,never
57157723,1,never,0,never
57159779,1,never,0,never
57159952,2,occasionally,0,never
57160648,1,never,1,sober
57163116,1,frequently,1,sober
57163657,2,never,0,never
57164981,1,never,0,never
57165081,1,never,0,never
57165288,2,never,1,sober
57165348,1,frequently,1,sober
57166019,1,never,0,never
57166450,1,never,0,never
57166463,1,never,1,never
57167951,1,never,0,never
57169110,1,never,1,sober
57171515,2,never,0,never
57177419,1,never,0,never
57177942,1,never,1,sober
57178110,1,never,0,never
57178982,1,never,0,never
57179591,2,never,0,never
57185559,1,occasionally,1,intoxicated
57186150,2,occasionally,0,never
57186582,1,never,0,never
57188247,2,never,1,sober
57188313,1,never,1,never
57191424,1,never,0,never
57191909,2,frequently,1,sober
57191910,2,never,0,never
57192841,2,never,0,never
57193349,1,never,1,never
57194529,2,never,0,never
57196641,1,never,0,never
57197327,1,never,1,sober
57198440,1,never,1,never
57199320,1,never,1,sober
57199896,2,never,0,never
57200870,2,never,1,sober
57201771,1,never,1,never
57203993,1,never,0,never
57205050,2,never,0,never
57207032,1,occasionally,0,never
57210612,1,occasionally,1,sober
57211108,1,never,1,never
57211375,2,never,0,never
57212347,2,never,0,never
57212679,1,never,0,never
57212861,1,never,1,sober
57213037,1,occasionally,1,intoxicated
57213527,1,never,0,never
57214806,2,occasionally,1,intoxicated
57214893,1,never,1,never
57217465,2,never,0,never
57217613,1,never,0,never
57218874,1,frequently,1,sober
57220133,1,never,1,never
57220241,1,never,0,never
57220692,1,frequently,0,never
57220955,2,never,0,never
57223848,2,never,0,never
57225699,1,never,1,never
57227208,2,occasionally,1,sober
57228523,1,never,1,never
57229751,1,never,1,never
57230663,2,never,1,sober
57230940,1,never,0,never
57231300,2,occasionally,1,sober
57231320,2,occasionally,0,never
57231603,1,never,0,never
57232895,1,occasionally,0,never
57233403,1,never,0,never
57234514,2,occasionally,1,sober
57235039,2,occasionally,1,sober
57239363,1,frequently,1,sober
57239974,2,never,0,never
57241075,2,never,0,never
57241170,2,never,1,never
57242812,1,never,1,never
57242885,2,never,NA,never
57244606,2,never,1,never
57245293,1,never,1,never
57245315,2,never,1,never
57245379,2,occasionally,1,sober
57245533,1,never,0,never
57247222,1,occasionally,1,never
57248884,2,never,1,sober
57249576,2,never,0,never
57251197,2,never,0,never
57253279,2,never,0,never
57256220,1,never,0,never
57256290,1,never,0,never
57258521,2,never,0,never
57258682,1,never,0,never
57258751,2,never,0,never
57260813,2,never,0,never
57262270,2,never,1,sober
57263479,1,never,0,never
57263513,1,occasionally,1,intoxicated
57265490,2,never,1,never
57268298,1,frequently,1,sober
57268950,1,frequently,1,intoxicated
57269468,2,never,1,never
57270588,1,occasionally,1,sober
57272130,2,occasionally,1,sober
57272274,2,never,0,never
57275298,2,never,0,never
57275660,1,never,0,never
57277289,1,never,0,never
57277290,2,never,0,never
57279640,1,never,0,never
57279680,2,never,1,sober
88122937,1,never,0,never
88143447,1,never,0,never
88149345,2,never,0,never
88178056,2,never,0,never
88183732,1,occasionally,0,never
88191219,1,never,1,never
88191364,1,occasionally,0,never
88202138,2,never,1,sober
